case_name,test_group,mode,pattern,target_metric,sweep_axis,repeat_id,x_flag,xfer_label,gpu_id,threads,dataset,io_size,throughput_gib_s,avg_latency_us,iops,ops,total_time_s,exit_code,case_dir,xfer_match,prepared_dataset
seq_read_x0_th8_size1G_io1M_rep1,cpu_obs_seq,read,seq,throughput,threads,1,0,GPUD,0,8,1G,1M,6.827753,1144.139329,6991.619151,65350,9.346905,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_read_x0_th8_size1G_io1M_rep1,1,1
seq_read_x0_th8_size1G_io4M_rep1,cpu_obs_seq,read,seq,throughput,threads,1,0,GPUD,0,8,1G,4M,6.807567,4590.786826,1742.737145,16921,9.709439,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_read_x0_th8_size1G_io4M_rep1,1,1
seq_write_x0_th8_size1G_io1M_rep1,cpu_obs_seq,write,seq,throughput,threads,1,0,GPUD,0,8,1G,1M,3.868043,2019.759177,3960.875548,38259,9.659228,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_write_x0_th8_size1G_io1M_rep1,1,0
rand_write_x0_th32_size1G_io4K_rep1,cpu_obs_rand,write,rand,iops_latency,threads,1,0,GPUD,0,32,1G,4K,0.076984,1585.393850,20180.905373,201397,9.979582,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/rand_write_x0_th32_size1G_io4K_rep1,1,0
seq_read_x2_th8_size1G_io1M_rep1,cpu_obs_seq,read,seq,throughput,threads,1,2,CPU_GPU,0,8,1G,1M,6.825557,1144.534429,6989.369936,67448,9.650083,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_read_x2_th8_size1G_io1M_rep1,1,1
seq_read_x2_th8_size1G_io4M_rep1,cpu_obs_seq,read,seq,throughput,threads,1,2,CPU_GPU,0,8,1G,4M,6.828193,4590.158868,1748.017400,15857,9.071420,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_read_x2_th8_size1G_io4M_rep1,1,1
seq_write_x2_th8_size1G_io1M_rep1,cpu_obs_seq,write,seq,throughput,threads,1,2,CPU_GPU,0,8,1G,1M,3.032625,2576.890953,3105.407691,29561,9.519201,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_write_x2_th8_size1G_io1M_rep1,1,0
rand_write_x2_th32_size1G_io4K_rep1,cpu_obs_rand,write,rand,iops_latency,threads,1,2,CPU_GPU,0,32,1G,4K,0.488834,293.648055,128145.029490,1225602,9.564179,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/rand_write_x2_th32_size1G_io4K_rep1,1,0
seq_read_x0_th8_size1G_io1M_rep2,cpu_obs_seq,read,seq,throughput,threads,2,0,GPUD,0,8,1G,1M,6.810210,1147.087856,6973.654754,66164,9.487708,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_read_x0_th8_size1G_io1M_rep2,1,1
seq_read_x0_th8_size1G_io4M_rep2,cpu_obs_seq,read,seq,throughput,threads,2,0,GPUD,0,8,1G,4M,6.852611,4562.523646,1754.268402,16545,9.431282,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_read_x0_th8_size1G_io4M_rep2,1,1
seq_write_x0_th8_size1G_io1M_rep2,cpu_obs_seq,write,seq,throughput,threads,2,0,GPUD,0,8,1G,1M,4.563061,1711.987869,4672.574527,45067,9.645004,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_write_x0_th8_size1G_io1M_rep2,1,0
rand_write_x0_th32_size1G_io4K_rep2,cpu_obs_rand,write,rand,iops_latency,threads,2,0,GPUD,0,32,1G,4K,0.075522,1616.441468,19797.640067,198675,10.035287,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/rand_write_x0_th32_size1G_io4K_rep2,1,0
seq_read_x2_th8_size1G_io1M_rep2,cpu_obs_seq,read,seq,throughput,threads,2,2,CPU_GPU,0,8,1G,1M,6.850735,1140.317374,7015.152547,67586,9.634288,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_read_x2_th8_size1G_io1M_rep2,1,1
seq_read_x2_th8_size1G_io4M_rep2,cpu_obs_seq,read,seq,throughput,threads,2,2,CPU_GPU,0,8,1G,4M,6.850442,4566.631064,1753.713098,16900,9.636696,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_read_x2_th8_size1G_io4M_rep2,1,1
seq_write_x2_th8_size1G_io1M_rep2,cpu_obs_seq,write,seq,throughput,threads,2,2,CPU_GPU,0,8,1G,1M,4.831367,1617.093669,4947.319383,47608,9.622989,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_write_x2_th8_size1G_io1M_rep2,1,0
rand_write_x2_th32_size1G_io4K_rep2,cpu_obs_rand,write,rand,iops_latency,threads,2,2,CPU_GPU,0,32,1G,4K,0.473671,262.723951,124169.899772,1191027,9.591914,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/rand_write_x2_th32_size1G_io4K_rep2,1,0
seq_read_x0_th8_size1G_io1M_rep3,cpu_obs_seq,read,seq,throughput,threads,3,0,GPUD,0,8,1G,1M,6.739956,1159.048655,6901.714603,66176,9.588342,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_read_x0_th8_size1G_io1M_rep3,1,1
seq_read_x0_th8_size1G_io4M_rep3,cpu_obs_seq,read,seq,throughput,threads,3,0,GPUD,0,8,1G,4M,6.853676,4570.300837,1754.540950,16564,9.440646,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_read_x0_th8_size1G_io4M_rep3,1,1
seq_write_x0_th8_size1G_io1M_rep3,cpu_obs_seq,write,seq,throughput,threads,3,0,GPUD,0,8,1G,1M,3.793364,2059.382470,3884.404637,38646,9.949015,0,/home/poc/gds_bench/results/cpu_observation_20260426_113820/cases/seq_write_x0_th8_size1G_io1M_rep3,1,0
