case_name,test_group,mode,pattern,target_metric,sweep_axis,repeat_id,x_flag,xfer_label,gpu_id,threads,dataset,io_size,throughput_gib_s,avg_latency_us,iops,ops,total_time_s,exit_code,case_dir,xfer_match,prepared_dataset
io_size_sweep_throughput__read__x0__th8__io128K__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,0,GPUD,0,8,1G,128K,2.290857,426.363054,18766.703714,188489,10.043799,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io128K__rep1,1,1
io_size_sweep_throughput__read__x0__th8__io256K__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,0,GPUD,0,8,1G,256K,4.662042,418.914997,19095.724246,172979,9.058520,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io256K__rep1,1,1
io_size_sweep_throughput__read__x0__th8__io512K__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,0,GPUD,0,8,1G,512K,6.523501,598.755800,13360.129433,120611,9.027682,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io512K__rep1,1,1
io_size_sweep_throughput__read__x0__th8__io1M__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,0,GPUD,0,8,1G,1M,6.829520,1143.822865,6993.428542,63343,9.057503,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io1M__rep1,1,1
io_size_sweep_throughput__read__x0__th8__io2M__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,0,GPUD,0,8,1G,2M,6.837969,2284.736327,3501.040163,31735,9.064449,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io2M__rep1,1,1
io_size_sweep_throughput__read__x0__th8__io4M__rep1,io_size_sweep_throughput,read,seq,throughput,io_size,1,0,GPUD,0,8,1G,4M,6.817672,4584.825604,1745.324049,16742,9.592488,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io4M__rep1,1,1
io_size_sweep_iops__read__x0__th32__io4K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,4K,0.063989,1907.234602,16774.273077,199219,11.876461,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io4K__rep1,1,1
io_size_sweep_iops__read__x0__th32__io8K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,8K,0.132920,1836.641747,17422.044559,172450,9.898379,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io8K__rep1,1,1
io_size_sweep_iops__read__x0__th32__io16K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,16K,0.267110,1828.260170,17505.293518,175135,10.004688,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io16K__rep1,1,1
io_size_sweep_iops__read__x0__th32__io32K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,32K,0.534021,1828.935502,17498.800730,173526,9.916451,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io32K__rep1,1,1
io_size_sweep_iops__read__x0__th32__io64K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,64K,1.134690,1720.658075,18590.763491,177057,9.523923,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io64K__rep1,1,1
io_size_sweep_iops__read__x0__th32__io128K__rep1,io_size_sweep_iops,read,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,128K,2.237235,1745.510009,18327.427113,180304,9.837933,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io128K__rep1,1,1
thread_sweep_throughput__read__x0__th1__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,0,GPUD,0,1,1G,1M,2.954005,330.571548,3024.901330,28736,9.499814,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th1__io1M__rep1,1,1
thread_sweep_throughput__read__x0__th2__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,0,GPUD,0,2,1G,1M,5.140319,379.938400,5263.686793,49918,9.483467,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th2__io1M__rep1,1,1
thread_sweep_throughput__read__x0__th4__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,0,GPUD,0,4,1G,1M,6.583103,593.329316,6741.097228,63548,9.426952,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th4__io1M__rep1,1,1
thread_sweep_throughput__read__x0__th8__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,0,GPUD,0,8,1G,1M,6.691092,1167.528695,6851.678061,64883,9.469651,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th8__io1M__rep1,1,1
thread_sweep_throughput__read__x0__th16__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,0,GPUD,0,16,1G,1M,6.747093,2315.304353,6909.023421,69056,9.995045,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th16__io1M__rep1,1,1
thread_sweep_throughput__read__x0__th32__io1M__rep1,thread_sweep_throughput,read,seq,throughput,threads,1,0,GPUD,0,32,1G,1M,6.776373,4673.903818,6939.005482,64029,9.227403,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th32__io1M__rep1,1,1
thread_sweep_iops__read__x0__th1__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,0,GPUD,0,1,1G,4K,0.040860,93.354534,10711.334147,101587,9.484066,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th1__io4K__rep1,1,1
thread_sweep_iops__read__x0__th2__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,0,GPUD,0,2,1G,4K,0.074117,102.935050,19429.421297,184252,9.483144,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th2__io4K__rep1,1,1
thread_sweep_iops__read__x0__th4__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,0,GPUD,0,4,1G,4K,0.072517,210.739770,19009.961802,183724,9.664617,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th4__io4K__rep1,1,1
thread_sweep_iops__read__x0__th8__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,0,GPUD,0,8,1G,4K,0.064401,474.145363,16882.436187,159343,9.438389,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th8__io4K__rep1,1,1
thread_sweep_iops__read__x0__th16__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,0,GPUD,0,16,1G,4K,0.062829,971.638720,16470.213074,153191,9.301094,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th16__io4K__rep1,1,1
thread_sweep_iops__read__x0__th32__io4K__rep1,thread_sweep_iops,read,rand,iops_latency,threads,1,0,GPUD,0,32,1G,4K,0.064453,1893.703345,16895.922877,199111,11.784559,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th32__io4K__rep1,1,1
io_size_sweep_throughput__write__x0__th8__io128K__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,0,GPUD,0,8,1G,128K,2.532297,385.834812,20744.577880,195138,9.406699,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io128K__rep1,1,1
io_size_sweep_throughput__write__x0__th8__io256K__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,0,GPUD,0,8,1G,256K,3.389231,576.232974,13882.290157,139171,10.025075,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io256K__rep1,1,1
io_size_sweep_throughput__write__x0__th8__io512K__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,0,GPUD,0,8,1G,512K,5.589192,698.858394,11446.665549,103424,9.035295,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io512K__rep1,1,1
io_size_sweep_throughput__write__x0__th8__io1M__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,0,GPUD,0,8,1G,1M,5.638432,1385.527623,5773.753994,57608,9.977564,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io1M__rep1,1,1
io_size_sweep_throughput__write__x0__th8__io2M__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,0,GPUD,0,8,1G,2M,5.653135,2763.780944,2894.405213,28857,9.969924,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io2M__rep1,1,1
io_size_sweep_throughput__write__x0__th8__io4M__rep1,io_size_sweep_throughput,write,seq,throughput,io_size,1,0,GPUD,0,8,1G,4M,5.658199,5522.311729,1448.498999,13912,9.604425,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io4M__rep1,1,1
io_size_sweep_iops__write__x0__th32__io4K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,4K,0.077402,1577.032700,20290.576877,200443,9.878625,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io4K__rep1,1,1
io_size_sweep_iops__write__x0__th32__io8K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,8K,0.153846,1587.024816,20164.904039,221674,10.993060,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io8K__rep1,1,1
io_size_sweep_iops__write__x0__th32__io16K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,16K,0.315613,1547.506884,20684.040000,206815,9.998772,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io16K__rep1,1,1
io_size_sweep_iops__write__x0__th32__io32K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,32K,0.655932,1489.661922,21493.578159,204430,9.511213,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io32K__rep1,1,1
io_size_sweep_iops__write__x0__th32__io64K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,64K,1.345072,1451.820816,22037.663523,211887,9.614767,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io64K__rep1,1,1
io_size_sweep_iops__write__x0__th32__io128K__rep1,io_size_sweep_iops,write,rand,iops_latency,io_size,1,0,GPUD,0,32,1G,128K,1.749013,2233.029663,14327.914483,146664,10.236242,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io128K__rep1,1,1
thread_sweep_throughput__write__x0__th1__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,0,GPUD,0,1,1G,1M,2.672783,365.354775,2736.930171,25216,9.213242,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th1__io1M__rep1,1,1
thread_sweep_throughput__write__x0__th2__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,0,GPUD,0,2,1G,1M,1.938931,1007.282333,1985.465081,18783,9.460252,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th2__io1M__rep1,1,1
thread_sweep_throughput__write__x0__th4__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,0,GPUD,0,4,1G,1M,2.912413,1341.662986,2982.311313,28605,9.591554,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th4__io1M__rep1,1,1
