case_name,test_group,mode,x_flag,xfer_label,gpu_id,threads,dataset,io_size,throughput_gib_s,avg_latency_us,iops,ops,total_time_s,exit_code,case_dir,xfer_match
io_size_sweep_throughput__write__x0__th8__io128K,io_size_sweep_throughput,write,0,GPUD,0,8,1G,128K,1.759190,555.215962,14411.282900,431835,29.965063,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x0__th8__io128K,1
io_size_sweep_throughput__write__x0__th8__io256K,io_size_sweep_throughput,write,0,GPUD,0,8,1G,256K,2.444207,799.315502,10011.473093,298710,29.836768,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x0__th8__io256K,1
io_size_sweep_throughput__write__x0__th8__io512K,io_size_sweep_throughput,write,0,GPUD,0,8,1G,512K,2.327481,1678.603448,4766.681334,141801,29.748370,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x0__th8__io512K,1
io_size_sweep_throughput__write__x0__th8__io1M,io_size_sweep_throughput,write,0,GPUD,0,8,1G,1M,3.615580,2160.792823,3702.353869,109083,29.463148,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x0__th8__io1M,1
io_size_sweep_throughput__write__x0__th8__io2M,io_size_sweep_throughput,write,0,GPUD,0,8,1G,2M,2.751810,5678.086662,1408.926695,41198,29.240698,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x0__th8__io2M,1
io_size_sweep_throughput__write__x0__th8__io4M,io_size_sweep_throughput,write,0,GPUD,0,8,1G,4M,2.589287,12069.723711,662.857570,19283,29.090714,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x0__th8__io4M,1
io_size_sweep_latency__write__x0__th8__io4K,io_size_sweep_latency,write,0,GPUD,0,8,1G,4K,0.089632,340.603347,23496.515875,687589,29.263445,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x0__th8__io4K,1
io_size_sweep_latency__write__x0__th8__io8K,io_size_sweep_latency,write,0,GPUD,0,8,1G,8K,0.186132,328.030178,24396.636122,719106,29.475621,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x0__th8__io8K,1
io_size_sweep_latency__write__x0__th8__io16K,io_size_sweep_latency,write,0,GPUD,0,8,1G,16K,0.377543,323.599523,24742.662029,731594,29.568120,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x0__th8__io16K,1
io_size_sweep_latency__write__x0__th8__io32K,io_size_sweep_latency,write,0,GPUD,0,8,1G,32K,0.748323,326.751056,24521.038383,726174,29.614325,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x0__th8__io32K,1
io_size_sweep_latency__write__x0__th8__io64K,io_size_sweep_latency,write,0,GPUD,0,8,1G,64K,1.263912,386.353561,20707.940365,614712,29.684845,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x0__th8__io64K,1
io_size_sweep_latency__write__x0__th8__io128K,io_size_sweep_latency,write,0,GPUD,0,8,1G,128K,1.818761,536.967885,14899.290961,446551,29.971292,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_latency__write__x0__th8__io128K,1
thread_sweep_throughput__write__x0__th1__io1M,thread_sweep_throughput,write,0,GPUD,0,1,1G,1M,3.125542,312.440289,3200.554842,95008,29.684853,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x0__th1__io1M,1
thread_sweep_throughput__write__x0__th2__io1M,thread_sweep_throughput,write,0,GPUD,0,2,1G,1M,4.270092,457.397396,4372.574424,129758,29.675424,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x0__th2__io1M,1
thread_sweep_throughput__write__x0__th4__io1M,thread_sweep_throughput,write,0,GPUD,0,4,1G,1M,3.497882,1116.747535,3581.831540,106277,29.671133,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x0__th4__io1M,1
thread_sweep_throughput__write__x0__th8__io1M,thread_sweep_throughput,write,0,GPUD,0,8,1G,1M,2.536279,3080.374195,2597.149503,76442,29.433038,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x0__th8__io1M,1
thread_sweep_throughput__write__x0__th16__io1M,thread_sweep_throughput,write,0,GPUD,0,16,1G,1M,1.559041,10021.646444,1596.457784,46741,29.277943,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x0__th16__io1M,1
thread_sweep_throughput__write__x0__th32__io1M,thread_sweep_throughput,write,0,GPUD,0,32,1G,1M,1.799364,17364.917836,1842.548866,53635,29.109133,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_throughput__write__x0__th32__io1M,1
thread_sweep_latency__write__x0__th1__io4K,thread_sweep_latency,write,0,GPUD,0,1,1G,4K,0.134619,28.336633,35289.640375,1058407,29.992003,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x0__th1__io4K,1
thread_sweep_latency__write__x0__th2__io4K,thread_sweep_latency,write,0,GPUD,0,2,1G,4K,0.126175,60.467915,33075.937286,981829,29.684087,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x0__th2__io4K,1
thread_sweep_latency__write__x0__th4__io4K,thread_sweep_latency,write,0,GPUD,0,4,1G,4K,0.096830,157.699660,25383.333378,759227,29.910453,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x0__th4__io4K,1
thread_sweep_latency__write__x0__th8__io4K,thread_sweep_latency,write,0,GPUD,0,8,1G,4K,0.087910,347.273895,23045.071929,680569,29.532084,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x0__th8__io4K,1
thread_sweep_latency__write__x0__th16__io4K,thread_sweep_latency,write,0,GPUD,0,16,1G,4K,0.085772,714.220400,22484.508014,660610,29.380674,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x0__th16__io4K,1
thread_sweep_latency__write__x0__th32__io4K,thread_sweep_latency,write,0,GPUD,0,32,1G,4K,0.080820,1511.118383,21186.353951,616929,29.119168,0,/home/poc/gds_bench/results/full_20260417_230730/cases/thread_sweep_latency__write__x0__th32__io4K,1
io_size_sweep_throughput__write__x2__th8__io128K,io_size_sweep_throughput,write,2,CPU_GPU,0,8,1G,128K,2.173518,449.308003,17805.461942,518033,29.094050,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x2__th8__io128K,1
io_size_sweep_throughput__write__x2__th8__io256K,io_size_sweep_throughput,write,2,CPU_GPU,0,8,1G,256K,2.488657,785.023359,10193.538001,304077,29.830369,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x2__th8__io256K,1
io_size_sweep_throughput__write__x2__th8__io512K,io_size_sweep_throughput,write,2,CPU_GPU,0,8,1G,512K,2.562502,1524.535684,5248.004722,154066,29.357062,0,/home/poc/gds_bench/results/full_20260417_230730/cases/io_size_sweep_throughput__write__x2__th8__io512K,1
